Day fraction since midnight on 	pH probe (pH)
0.633336061	6.709754944
0.633347662	6.753582001
0.63335921	6.773059368
0.633370799	6.816624641
0.633382375	6.893097878
0.633393937	6.901962757
0.633405515	6.964641094
0.633417111	6.973546505
0.633428696	7.00506115
0.633440257	7.012326241
0.633451814	7.062216282
0.633463411	7.046973705
0.633474964	7.075989246
0.633486555	7.05411768
0.633498119	7.074218273
0.63350969	7.06070137
0.633521257	7.101957321
0.633532836	7.064321041
0.633544412	7.101385593
0.633555992	7.083895207
0.633567556	7.12145853
0.63357913	7.087890625
0.633590715	7.122701645
0.633602268	7.101802826
0.633613865	7.164563179
0.633625416	7.150709152
0.633636987	7.167792797
0.633648567	7.142522812
0.633660179	7.181126118
0.633671718	7.190723419
0.633683294	7.198725224
0.633694872	7.183325768
0.633706434	7.193036079
0.633718015	7.194171906
0.633729612	7.215300083
0.633741179	7.182941437
0.633752745	7.195252895
0.633764301	7.203003407
0.633775875	7.198886395
0.633787459	7.169156075
0.633799035	7.207378864
0.633810626	7.199247837
0.633822172	7.205462933
0.633833763	7.202400208
0.633845319	7.221163273
0.633856896	7.213669777
0.633868467	7.201885223
0.633880043	7.219335079
0.633891643	7.194724083
0.633903215	7.231786251
0.633914766	7.215231895
0.633926353	7.19079876
0.633937941	7.194249153
0.633949486	7.242325783
0.633961073	7.223968983
0.633972642	7.208954811
0.633984212	7.232665539
0.633995786	7.343063355
0.634007377	7.183390141
0.634018946	7.403610706
0.634030504	7.217811585
0.634042081	7.24288559
0.634053682	7.222350121
0.634065246	7.259571552
0.634076811	7.227536202
0.634088398	7.254725933
0.634099967	7.234185219
0.634111532	7.232311726
0.63412314	7.207919598
0.63413467	7.232703686
0.634146275	7.214463711
0.634157819	7.2286129
0.634169393	7.222906113
0.634180984	7.220127106
0.634192563	7.200762272
0.634204119	7.224054813
0.634215708	7.192955971
0.634227286	7.212373734
0.634238861	7.183315754
0.63425042	7.192826748
0.634262008	7.163692951
0.634273583	7.178474426
0.634285163	7.152621269
0.634296708	7.178108215
0.634308299	7.157382011
0.634319862	7.158008575
0.634331459	7.141087532
0.634343021	7.160455704
0.634354611	7.136153221
0.634366179	7.155241966
0.634377741	7.11318922
0.634389305	7.132693291
0.6344009	7.126419544
0.634412463	7.133423805
0.634424029	7.105121613
0.634435625	7.112244606
0.63444719	7.121770859
0.634458747	7.093656063
0.634470338	7.121522427
0.634481909	7.118508816
0.634493487	7.090877533
0.634505071	7.081030846
0.634516633	7.125005245
0.634528222	7.104229927
0.634539797	7.090199471
0.634551354	7.061835289
0.634562929	7.069928169
0.634574492	7.029709816
0.63458609	7.074907303
0.634597655	7.059727669
0.634609233	7.055141926
0.634620785	7.031782627
0.634632378	7.06640482
0.634643957	7.022406101
0.634655508	7.071209908
0.634667078	7.025628567
0.634678657	7.030377388
0.634690246	7.017535687
0.634701802	7.033267975
0.634713375	7.01200676
0.634724967	7.01973486
0.63473655	6.991341591
0.634748117	6.993086815
0.634759685	6.991053104
0.634771284	6.991595745
0.634782822	6.97165823
0.634794414	6.969259262
0.634805968	6.954035759
0.634817549	6.966400623
0.634829116	6.976957321
0.634840731	6.964034081
0.634852277	6.94321394
0.634863864	6.960125923
0.634875441	6.937094212
0.634886999	6.957182884
