Day fraction since midnight on 	pH probe (pH)
0.613706471	7.689850807
0.613718049	7.689121246
0.613729617	7.671877384
0.613741173	7.684000492
0.613752757	7.677935123
0.61376433	7.679553509
0.613775891	7.701621056
0.613787464	7.655073166
0.613799035	7.651885986
0.613810629	7.665531635
0.613822202	7.693928719
0.61383377	7.672346592
0.613845338	7.713891983
0.61385692	7.681478977
0.613868511	7.693524361
0.613880075	7.669600487
0.613891644	7.680696487
0.613903234	7.655245781
0.61391478	7.696156025
0.613926357	7.669558525
0.613937924	7.650495052
0.613949531	7.670174122
0.613961093	7.678152084
0.61397265	7.682262898
0.613984237	7.671293259
0.613995819	7.63417244
0.614007383	7.678693295
0.614018964	7.657577992
0.614030546	7.667716026
0.614042103	7.645363331
0.614053672	7.658086777
0.614065248	7.627486229
0.614076815	7.629740715
0.614088418	7.652845383
0.614099981	7.645535946
0.614111567	7.659209251
0.614123137	7.641880512
0.614134704	7.65034008
0.614146281	7.62714386
0.614157853	7.652478218
0.614169424	7.633954525
0.614181013	7.659870148
0.614192573	7.654299259
0.614204146	7.632152081
0.614215717	7.648794174
0.614227296	7.664352417
0.614238851	7.639282227
0.614250424	7.64497757
0.61426201	7.647013187
0.614273587	7.635365486
0.614285156	7.615149498
0.614296739	7.639560223
0.614308316	7.659048557
0.614319887	7.657393932
0.614331443	7.617298603
0.614343018	7.640472889
0.614354592	7.61350584
0.614366196	7.628361225
0.614377759	7.61230278
0.614389342	7.641952992
0.614400899	7.60982132
0.614412463	7.614711762
0.614424057	7.609084129
0.614435638	7.649960041
0.614447201	7.621871948
0.614458757	7.631537914
0.614470348	7.626675129
0.614481923	7.607875824
0.614493482	7.607500553
0.614505062	7.617675781
0.614516632	7.612817764
0.614528231	7.620883942
0.614539787	7.633719921
0.614551381	7.622999668
0.614562934	7.608110428
0.614574503	7.585422993
0.614586083	7.616818905
0.614597646	7.595023155
0.614609226	7.620916843
0.61462081	7.60045433
0.614632374	7.603682041
0.614643947	7.59001112
0.614655542	7.607726097
0.614667091	7.596724987
0.614678693	7.590183735
0.614690252	7.604372501
0.61470182	7.598978519
0.614713406	7.578710079
0.614724964	7.59213829
0.614736546	7.591983795
0.614748129	7.603619576
0.614759693	7.584579945
0.614771274	7.582939625
0.614782869	7.591081619
0.614794424	7.574820042
0.614806003	7.567642212
0.614817554	7.567910671
0.614829148	7.576467514
0.614840711	7.606154919
0.614852282	7.559632301
0.614863867	7.575668335
0.614875443	7.532599449
0.614887017	7.571423054
0.614898578	7.565280438
0.614910177	7.581076145
0.614921722	7.547727585
0.614933301	7.551817894
0.614944882	7.533080101
0.614956479	7.526015282
0.614968047	7.535933495
0.614979618	7.553648472
0.614991196	7.525267601
0.615002758	7.561599255
0.615014332	7.529108524
0.61502593	7.539524555
0.615037491	7.518399239
0.615049038	7.516282558
0.615060628	7.520541668
0.615072182	7.532807827
0.615083783	7.514063835
0.615095361	7.523102284
0.615106923	7.52258873
0.615118496	7.491142273
0.615130075	7.512579918
0.615141645	7.5204916
0.615153218	7.530762672
0.615164792	7.508309841
0.61517637	7.527226925
0.61518793	7.499758244
0.615199501	7.494814873
0.615211089	7.508257389
0.615222678	7.515127182
0.61523422	7.521849155
0.615245794	7.532615185
0.615257369	7.497326851
0.615268945	7.513990879
0.615280536	7.505169392
0.615292103	7.488285542
0.615303681	7.4981246
0.615315239	7.490680695
0.615326821	7.472824097
0.615338418	7.490614891
0.615349976	7.498121262
0.615361567	7.507338524
0.615373121	7.490282059
0.615396268	7.449649334
0.615407845	7.478189468
0.615419418	7.471949101
0.615430998	7.49599123
0.615442553	7.486531735
0.615454145	7.47361517
0.615465734	7.468327522
0.61547729	7.483764648
0.615488861	7.480879784
0.615500445	7.470561028
0.61551201	7.464452267
0.615523602	7.49051857
0.615535166	7.479207993
0.615546749	7.506207466
0.615558294	7.495464325
0.615569881	7.517745018
0.615581463	7.462550163
0.615593034	7.466310978
0.615604635	7.468603611
0.615616164	7.475177288
0.615627745	7.483665943
0.615639331	7.500011921
0.615650897	7.48072958
0.615662475	7.475207329
0.615674067	7.46701479
0.615685612	7.476434231
0.61569719	7.466632843
0.615708777	7.4735322
0.615720339	7.470000744
0.615731937	7.458043575
0.615743484	7.491316319
0.615755077	7.467637062
0.615766635	7.459366798
0.615778218	7.464594364
0.61578978	7.482644081
0.615801369	7.452876091
0.61581294	7.470840931
0.615824517	7.457957745
0.615836088	7.483075619
0.615847669	7.480893135
0.615859219	7.493312359
0.615870815	7.461236477
0.615882384	7.475044251
0.615893965	7.450662613
0.615905528	7.468711853
0.615917096	7.453841209
0.615928697	7.477085114
0.615940271	7.477626324
0.615951823	7.475946426
0.615963412	7.467318535
0.615974971	7.473824978
0.615986556	7.460223198
0.615998138	7.454946041
0.616009701	7.440984249
0.61602126	7.468072414
0.616032834	7.478888989
0.616044419	7.468995571
0.616056008	7.467273235
0.616067553	7.494212627
0.616079129	7.464745998
0.616090716	7.481473446
0.616102319	7.479243279
0.616113863	7.499372959
0.616125455	7.484523773
0.616137011	7.484964848
0.616148591	7.458556652
0.616160175	7.472777844
0.616171741	7.486006737
0.616183294	7.504138947
0.616194866	7.48561573
0.616206445	7.486571789
0.616218059	7.45851469
0.616229591	7.470499992
0.616241163	7.462305069
0.616252764	7.449268341
0.616264333	7.50955677
0.616275913	7.48477602
0.61628747	7.488231182
0.61629905	7.47063303
0.616310619	7.470891476
0.616322198	7.458763123
0.616333782	7.48550272
0.616345352	7.485953331
0.616356926	7.482076645
0.616368479	7.480742455
0.616380067	7.497610569
0.616391656	7.465075016
0.616403211	7.487028122
0.616414788	7.49577713
0.616426365	7.476028442
0.616437951	7.459040642
0.616449513	7.460238457
0.616461104	7.465508461
0.61647267	7.483428955
0.616484225	7.475734234
0.616495821	7.497014999
0.616507372	7.468007088
0.616518961	7.455723286
0.616530516	7.469896793
0.616542106	7.501530647
0.616553687	7.47576046
0.616565259	7.497707367
0.616576817	7.457890511
0.616588418	7.456923962
0.616599975	7.470898151
0.616611563	7.474529743
0.616623121	7.473495007
0.616634702	7.508666039
0.616646262	7.476037502
0.616657835	7.475252628
0.616669423	7.453109741
0.616680991	7.482402325
0.616692553	7.48029232
0.616704163	7.488306999
0.616715709	7.480072498
0.616727287	7.487857342
0.616738848	7.445231438
0.616750436	7.468950748
0.616762011	7.46871376
0.616773572	7.469002247
0.616785163	7.4810853
0.616796749	7.471369267
0.616808317	7.458269119
0.616819881	7.458107948
0.616831466	7.462457657
0.616843048	7.460693359
0.616854594	7.475037098
0.616866174	7.482659817
0.616877767	7.478008747
0.616889316	7.454754829
0.6169009	7.457970142
0.616912481	7.458857536
0.616924051	7.454049587
0.616935639	7.490145207
0.616947185	7.499358177
0.616958773	7.445664406
0.616970338	7.471494198
0.616981926	7.439977169
0.61699351	7.469871044
0.617005066	7.462567806
0.61701664	7.492164135
0.617028208	7.47628355
0.61703979	7.471578121
0.617051366	7.466874123
0.617062954	7.455695152
0.617074507	7.456765175
0.617086096	7.456383228
0.617097644	7.46974659
0.617109221	7.472033978
0.6171208	7.481987953
0.617132372	7.487615109
0.61714395	7.460477352
0.617155519	7.458810329
0.617167103	7.459385872
0.61717869	7.463386536
0.61719028	7.460811138
0.617201838	7.473550797
0.617213388	7.449992657
0.617224966	7.476154327
0.617236537	7.462861061
0.617248132	7.439687729
0.617259701	7.455066681
0.617271287	7.461260319
0.617282846	7.473275185
0.617294425	7.466578484
0.617305998	7.442677975
0.617317585	7.438737392
0.617329137	7.450349808
0.617340708	7.473768234
0.617352286	7.484614849
0.617363849	7.432126045
0.617375433	7.44172287
0.617387004	7.442886353
0.617398573	7.461214066
0.617410176	7.461404324
0.617421729	7.459733009
0.617433293	7.44570303
0.617444888	7.47499752
0.617456456	7.448281288
0.617468017	7.455796719
0.617479599	7.441318512
0.617491175	7.458669663
0.617502739	7.455849171
0.61751433	7.46843338
0.617525885	7.461070061
0.617537462	7.456699848
0.617549064	7.468300343
0.617560612	7.422895908
0.617572186	7.444402695
0.617583767	7.466469288
0.61759535	7.444573879
0.61760691	7.458990574
0.617618512	7.458201885
0.617630079	7.456784725
0.617641646	7.430613041
0.617653224	7.46903801
0.617664774	7.447999954
0.617676358	7.479986668
0.61768794	7.462237835
0.617699499	7.455906391
0.617711074	7.449035645
0.61772267	7.457536697
0.61773425	7.452800751
0.617745824	7.471824646
0.617757369	7.482135773
0.617768942	7.43200779
0.617780519	7.433024883
0.61779211	7.446774483
0.617803684	7.446839333
0.617815281	7.445428848
0.617826824	7.466221809
0.617838418	7.464949608
0.617849964	7.465647221
0.617861535	7.444178104
0.617873147	7.450717926
0.61788471	7.439033032
0.617896284	7.45977211
0.61790786	7.458723068
0.617919423	7.470923424
0.617930994	7.452229977
0.617942554	7.449666977
0.617954127	7.450981617
0.617965715	7.435977459
0.617977303	7.443723202
0.617988857	7.468681812
0.618000454	7.457349777
0.618011994	7.453389645
0.618023582	7.4427104
0.618035162	7.46389389
0.618046723	7.449002743
0.618058293	7.488669395
0.618069894	7.444240093
0.618081447	7.458632946
0.618093038	7.456250191
0.618104596	7.451370716
0.618116171	7.448122025
0.618127749	7.462539673
0.618139335	7.459300041
0.618150914	7.475301743
0.618162474	7.44897604
0.61817404	7.447082996
0.618185648	7.447458744
0.618197205	7.453174591
0.618208756	7.446414948
0.618220349	7.468744755
0.618231934	7.456066132
0.618243478	7.450517654
0.618255055	7.440510273
0.618266646	7.453773499
0.618278221	7.453336239
0.618289801	7.487771034
0.618301392	7.481888294
0.618312942	7.471949101
0.618324503	7.459375382
0.61833609	7.463755608
0.618347654	7.427730084
0.618359222	7.448933125
0.618370821	7.459913731
0.618382393	7.458405972
0.618393943	7.462025166
0.618405547	7.425064564
0.618417116	7.449501038
0.618428667	7.440107346
0.618440265	7.435007572
0.618451824	7.407839775
0.618463384	7.446769238
0.618474971	7.437033176
0.618486561	7.436780453
0.618498107	7.430938721
0.618509694	7.445995808
0.618521281	7.420789719
0.618532842	7.461271286
0.618544403	7.460419655
0.618555997	7.466759205
0.61856758	7.445996761
0.618579148	7.44452858
0.618590714	7.423480988
0.618602293	7.45279026
0.618613864	7.45094204
0.61862543	7.447803974
0.618636994	7.450138092
0.618648589	7.460510731
0.618660145	7.429399014
0.618671737	7.446344376
0.618683311	7.468601227
0.618694881	7.458221436
0.61870646	7.451119423
0.618718029	7.46826458
0.618729594	7.4290452
0.618741181	7.450825691
0.618752736	7.471990585
0.618764315	7.476997376
0.618775894	7.434247494
0.618787486	7.468094349
0.618799051	7.452969551
0.618810625	7.449718475
0.618822209	7.437728405
0.618833756	7.463102818
0.618845354	7.428654671
0.61885692	7.445209026
0.61886848	7.445708752
0.618880077	7.455229282
0.618891644	7.450108528
0.618903206	7.448675156
0.618914805	7.446858406
0.61892636	7.452441216
0.618937935	7.45257473
0.618949513	7.473570824
0.618961099	7.440742493
0.618972657	7.42179203
0.618984248	7.45468092
0.618995791	7.454962254
0.619007383	7.458443165
0.619018951	7.460596561
0.619030529	7.431587219
0.619042108	7.381393433
0.619053682	7.423014641
0.619065269	7.396772862
0.619076852	7.407487392
0.619088402	7.416048527
0.619099985	7.452574253
0.619111544	7.455415249
0.619123126	7.472801685
0.619134697	7.443772793
0.619146276	7.448307037
0.619157845	7.437272549
0.619169419	7.441878796
0.619180979	7.403841019
0.619192578	7.425840378
0.619204139	7.41473341
0.619215714	7.462788105
0.619227272	7.458387852
0.619238876	7.417062283
0.619250425	7.426145554
0.619262023	7.42261982
